2025-12-11T18:55:59.365203,ff,rt2,ep1,1.991,0.000
2025-12-11T18:55:59.975478,ff,ep1,rt2,1.984,0.000
2025-12-11T18:56:02.364672,ff,rt2,ep1,2.004,0.000
2025-12-11T18:56:02.974892,ff,ep1,rt2,1.992,0.000
2025-12-11T18:56:05.365013,ff,rt2,ep1,1.977,0.014
2025-12-11T18:56:05.974159,ff,ep1,rt2,2.003,0.009
2025-12-11T18:56:08.364704,ff,rt2,ep1,2.003,0.013
2025-12-11T18:56:08.974980,ff,ep1,rt2,1.994,0.008
2025-12-11T18:56:11.364877,ff,rt2,ep1,2.000,0.011
2025-12-11T18:56:11.975073,ff,ep1,rt2,1.000,0.444
2025-12-11T18:56:14.364196,ff,rt2,ep1,1.001,0.406
2025-12-11T18:56:14.974386,ff,ep1,rt2,1.993,0.405
2025-12-11T18:56:17.364393,ff,rt2,ep1,2.002,0.376
2025-12-11T18:56:17.974686,ff,ep1,rt2,2.002,0.376
2025-12-11T18:56:20.364756,ff,rt2,ep1,2.001,0.352
2025-12-11T18:56:20.974037,ff,ep1,rt2,2.000,0.352
2025-12-11T18:56:23.365030,ff,rt2,ep1,1.984,0.331
2025-12-11T18:56:23.974312,ff,ep1,rt2,1.976,0.331
2025-12-11T18:56:26.365738,ff,rt2,ep1,1.981,0.314
2025-12-11T18:56:26.974951,ff,ep1,rt2,1.002,0.418
2025-12-11T18:56:29.365006,ff,rt2,ep1,1.981,0.299
2025-12-11T18:56:29.973303,ff,ep1,rt2,1.983,0.401
2025-12-11T18:56:32.365997,ff,rt2,ep1,1.998,0.286
2025-12-11T18:56:32.975111,ff,ep1,rt2,2.005,0.386
2025-12-11T18:56:35.364838,ff,rt2,ep1,2.000,0.275
2025-12-11T18:56:35.974126,ff,ep1,rt2,0.995,0.436
2025-12-11T18:56:38.364890,ff,rt2,ep1,2.002,0.266
2025-12-11T18:56:38.974136,ff,ep1,rt2,1.984,0.423
2025-12-11T18:56:41.364830,ff,rt2,ep1,1.997,0.257
2025-12-11T18:56:41.974943,ff,ep1,rt2,1.001,0.454
2025-12-11T18:56:44.364654,ff,rt2,ep1,1.999,0.249
2025-12-11T18:56:44.973759,ff,ep1,rt2,2.000,0.444
2025-12-11T18:56:47.364706,ff,rt2,ep1,1.977,0.241
2025-12-11T18:56:47.974978,ff,ep1,rt2,2.001,0.435
2025-12-11T18:56:50.364916,ff,rt2,ep1,2.005,0.234
2025-12-11T18:56:50.974153,ff,ep1,rt2,0.994,0.459
2025-12-11T18:56:53.364765,ff,rt2,ep1,2.001,0.228
2025-12-11T18:56:53.974978,ff,ep1,rt2,1.990,0.450
2025-12-11T18:56:56.364751,ff,rt2,ep1,1.999,0.222
2025-12-11T18:56:56.974500,ff,ep1,rt2,2.002,0.442
2025-12-11T18:56:59.364419,ff,rt2,ep1,2.001,0.217
2025-12-11T18:56:59.973567,ff,ep1,rt2,2.000,0.435
2025-12-11T18:57:02.365178,ff,rt2,ep1,3.003,0.309
2025-12-11T18:57:02.973278,ff,ep1,rt2,2.002,0.427
2025-12-11T18:57:05.370803,ff,rt2,ep1,5.998,0.887
2025-12-11T18:57:05.974906,ff,ep1,rt2,2.003,0.420
2025-12-11T18:57:08.364817,ff,rt2,ep1,2.000,0.869
2025-12-11T18:57:08.974973,ff,ep1,rt2,1.005,0.440
2025-12-11T18:57:11.364863,ff,rt2,ep1,2.001,0.851
2025-12-11T18:57:11.974973,ff,ep1,rt2,1.999,0.434
2025-12-11T18:57:14.364846,ff,rt2,ep1,2.002,0.834
2025-12-11T18:57:14.975008,ff,ep1,rt2,1.993,0.428
